time	V(n001)	V(n003)	I(R1)
1.163106343792804e-03	8.875215e-01	9.001819e-01	7.501516e-04
1.172871968792804e-03	8.244442e-01	8.414792e-01	7.012327e-04
1.182637593792803e-03	7.489665e-01	7.701141e-01	6.417618e-04
1.192403218792803e-03	6.622236e-01	6.871600e-01	5.726333e-04
1.202168843792803e-03	5.655203e-01	5.938647e-01	4.948872e-04
1.211934468792803e-03	4.603111e-01	4.916315e-01	4.096929e-04
1.221700093792803e-03	3.481783e-01	3.819981e-01	3.183317e-04
1.231465718792802e-03	2.308086e-01	2.666135e-01	2.221779e-04
1.241231343792802e-03	1.099673e-01	1.472133e-01	1.226777e-04
1.250996968792802e-03	-1.252795e-02	2.559339e-02	2.132783e-05
1.260762593792802e-03	-1.348348e-01	-9.641688e-02	-8.034740e-05
1.270528218792802e-03	-2.551136e-01	-2.169823e-01	-1.808186e-04
1.280293843792801e-03	-3.715553e-01	-3.342895e-01	-2.785746e-04
1.290059468792801e-03	-4.824084e-01	-4.465739e-01	-3.721449e-04
1.299825093792801e-03	-5.860057e-01	-5.521467e-01	-4.601222e-04
1.309590718792801e-03	-6.807889e-01	-6.494199e-01	-5.411832e-04
1.319356343792800e-03	-7.653323e-01	-7.369304e-01	-6.141086e-04
1.329121968792800e-03	-8.383645e-01	-8.133618e-01	-6.778015e-04
1.338887593792800e-03	-8.987869e-01	-8.775646e-01	-7.313038e-04
1.348653218792800e-03	-9.456907e-01	-9.285731e-01	-7.738109e-04
1.358418843792800e-03	-9.783704e-01	-9.656200e-01	-8.046833e-04
1.368184468792799e-03	-9.963346e-01	-9.881480e-01	-8.234566e-04
1.377950093792799e-03	-9.993129e-01	-9.959766e-01	-8.299804e-04
1.387303267842977e-03	-9.880720e-01	-9.892835e-01	-8.244029e-04
1.397068892842977e-03	-9.617910e-01	-9.675815e-01	-8.063178e-04
1.406834517842977e-03	-9.210437e-01	-9.314892e-01	-7.762410e-04
1.416600142842977e-03	-8.664431e-01	-8.813912e-01	-7.344927e-04
1.426365767842976e-03	-7.988103e-01	-8.180410e-01	-6.817009e-04
1.436131392842976e-03	-7.191627e-01	-7.423913e-01	-6.186595e-04
1.445897017842976e-03	-6.286982e-01	-6.555801e-01	-5.463168e-04
1.455662642842976e-03	-5.287775e-01	-5.589129e-01	-4.657608e-04
1.465428267842976e-03	-4.209036e-01	-4.538437e-01	-3.782031e-04
1.475193892842975e-03	-3.066988e-01	-3.419528e-01	-2.849606e-04
1.484959517842975e-03	-1.878810e-01	-2.249230e-01	-1.874359e-04
1.494725142842975e-03	-6.623728e-02	-1.045147e-01	-8.709558e-05
1.504490767842975e-03	5.640271e-02	1.746124e-02	1.455103e-05
1.514256392842975e-03	1.781943e-01	1.391702e-01	1.159751e-04
1.524022017842974e-03	2.973058e-01	2.587815e-01	2.156513e-04
1.533787642842974e-03	4.119454e-01	3.744963e-01	3.120802e-04
1.543553267842974e-03	5.203891e-01	4.845740e-01	4.038116e-04
1.553318892842974e-03	6.210055e-01	5.873590e-01	4.894658e-04
1.563084517842974e-03	7.122815e-01	6.813053e-01	5.677545e-04
1.572850142842973e-03	7.928442e-01	7.650001e-01	6.375001e-04
1.582615767842973e-03	8.614817e-01	8.371845e-01	6.976537e-04
